TimeStamp,Date,Time,SQF,Main,Description,Temperature,Humidity,Clouds,Rain,Wind Speed
1.60582E+12,20,02:04:54,154,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,02:07:00,155,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,02:09:06,153,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,02:11:11,154,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,02:13:16,153,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,02:15:22,155,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,02:16:40,155,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,02:19:32,154,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,02:20:40,154,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,02:22:40,154,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,02:24:40,154,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,02:26:40,154,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,02:28:40,154,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,02:32:05,155,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,02:32:40,155,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,02:34:40,155,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,02:38:21,156,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,02:40:27,155,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,02:42:33,156,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,02:44:39,155,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,02:44:40,155,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,02:46:40,155,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,02:48:40,155,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,02:50:40,155,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,02:52:40,155,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,02:54:40,155,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,02:56:40,155,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,02:59:16,154,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:01:22,155,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:03:29,154,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:04:40,154,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:06:40,154,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:08:40,154,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:10:40,154,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:14:15,153,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:14:40,153,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:16:40,153,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:20:32,154,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:22:36,152,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:22:40,152,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:24:42,153,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:26:40,153,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:28:54,152,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:30:58,153,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:33:03,152,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:35:09,153,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:36:40,153,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:39:21,152,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:40:40,152,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:42:40,152,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:45:37,151,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:47:42,152,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:48:40,152,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:50:40,152,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:52:40,152,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:56:03,151,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:56:40,151,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60582E+12,20,03:58:40,151,Smoke,smoke,22.12,40,0,No Rain,3.1
